key,node,converterType,isInvestment,capacity
C001,N1,CCGT_New,false,1026
C002,N2,CCGT_New,false,5370
C003,N3,CCGT_New,false,5108
C004,N4,CCGT_New,false,12970
C005,N5,CCGT_New,false,5670
C006,N6,CCGT_New,false,1725
C007,N1,Coal_New,false,447
C008,N2,Coal_New,false,1103
C009,N3,Coal_New,false,6265
C010,N4,Coal_New,false,4281
C011,N5,Coal_New,false,357
C012,N6,Coal_New,false,1203
C013,N1,CCGT_New,true,50000
C014,N2,CCGT_New,true,50000
C015,N3,CCGT_New,true,50000
C016,N4,CCGT_New,true,50000
C017,N5,CCGT_New,true,50000
C018,N6,CCGT_New,true,50000
C019,N1,PV,false,9552
C020,N2,PV,false,24657
C021,N3,PV,false,52406
C022,N4,PV,false,43700
C023,N5,PV,false,58761
C024,N6,PV,false,25925
C025,N1,WindOn,false,25912
C026,N2,WindOn,false,45468
C027,N3,WindOn,false,43208
C028,N4,WindOn,false,22536
C029,N5,WindOn,false,5225
C030,N6,WindOn,false,3173
C031,N1,Electrolyser,true,50000
C032,N2,Electrolyser,true,50000
C033,N3,Electrolyser,true,50000
C034,N4,Electrolyser,true,50000
C035,N5,Electrolyser,true,50000
C036,N6,Electrolyser,true,50000
