key,node,storageType,isInvestment,energyCapacity,chargePower,dischargePower,naturalInflow
STO001,N1,Battery,false,123,123,123,0
STO002,N2,Battery,false,245,245,245,0
STO003,N3,Battery,false,410,410,410,0
STO004,N4,Battery,false,676,676,676,0
STO005,N5,Battery,false,328,328,328,0
STO006,N6,Battery,false,266,266,266,0
STO007,N1,Battery_Invest,true,100000,100000,100000,0
STO008,N2,Battery_Invest,true,100000,100000,100000,0
STO009,N3,Battery_Invest,true,100000,100000,100000,0
STO010,N4,Battery_Invest,true,100000,100000,100000,0
STO011,N5,Battery_Invest,true,100000,100000,100000,0
STO012,N6,Battery_Invest,true,100000,100000,100000,0
