C,value
0,1025.9999999999984
1,5369.999999999998
2,5107.999999999998
3,12969.999999999998
4,5669.999999999998
5,1724.9999999999984
6,446.99999999999795
7,1102.999999999998
8,6264.999999999998
9,4280.999999999998
10,356.99999999999795
11,1202.999999999998
12,10406.602217987538
13,10406.602217987538
14,10406.602217987538
15,10406.602217987538
16,10406.602217987538
17,10406.602217987538
18,9552.0
19,24657.0
20,52406.0
21,43700.0
22,58761.0
23,25925.0
24,25912.0
25,45468.0
26,43208.0
27,22536.0
28,5225.0
29,3173.0
30,2171.886799033109
31,2171.886799033109
32,2171.886799033109
33,2171.886799033109
34,2171.886799033109
35,2171.886799033109
