EA,T,value
0,0,6.670719000711144e-09
0,1,6.670729845877055e-09
0,2,6.67074203658699e-09
0,3,6.6707490598894216e-09
0,4,6.670752532913394e-09
0,5,6.670748863750472e-09
0,6,6.670733813636878e-09
0,7,6.670714856589744e-09
0,8,6.670698599671041e-09
0,9,6.670704110967992e-09
0,10,6.670717122757785e-09
0,11,6.670723277228876e-09
0,12,6.670741810650269e-09
0,13,6.6707453167449485e-09
0,14,6.670717617701159e-09
0,15,6.670682477252699e-09
0,16,6.670626455680261e-09
0,17,6.670530795714513e-09
0,18,6.670547224691019e-09
0,19,6.670638081207462e-09
0,20,6.670680443122558e-09
0,21,6.670702825871627e-09
0,22,6.670712051215776e-09
0,23,6.670732583058942e-09
0,24,6.670760675372506e-09
0,25,6.670777626254292e-09
0,26,6.670778072461931e-09
0,27,6.670770911038919e-09
0,28,6.670762382878272e-09
0,29,6.6707369975964575e-09
0,30,6.670699118617634e-09
0,31,6.6706070842027755e-09
0,32,6.669773811906296e-09
0,33,6.670435526547744e-09
0,34,6.670584356293709e-09
0,35,6.670618133193613e-09
0,36,6.670652554269696e-09
0,37,6.670652212159865e-09
0,38,6.670589245148499e-09
0,39,6.670396045656823e-09
0,40,6.670041684906112e-09
0,41,6.670137633040092e-09
0,42,6.6705883806226276e-09
0,43,6.6706784193990636e-09
0,44,6.670707818176245e-09
0,45,6.670739708516935e-09
0,46,6.67078808884422e-09
0,47,6.671059889817028e-09
0,48,344.21619040020147
0,49,6324.166884585278
0,50,9508.705068785304
0,51,12010.368351982075
0,52,13031.320794196963
0,53,12095.7700319966
0,54,10808.644570255457
0,55,4207.184823351364
0,56,6.6714357879804674e-09
0,57,6.6709925554156945e-09
0,58,6.670934343792984e-09
0,59,6.6709069147400995e-09
0,60,6.6709896036922206e-09
0,61,6.670988497282538e-09
0,62,6.670886775589031e-09
0,63,6.670854330650131e-09
0,64,6.67079830679748e-09
0,65,6.67075345139357e-09
0,66,6.6707828200883765e-09
0,67,6.67092881307865e-09
0,68,6.672599009224716e-09
0,69,1850.756278245785
0,70,4873.847617082898
0,71,11097.488598610733
0,72,13031.320794196961
0,73,13031.320794196961
0,74,13031.320794196961
0,75,13031.320794196961
0,76,13031.320794196961
0,77,13031.320794196961
0,78,13031.320794196961
0,79,13031.320794196961
0,80,13031.320794196963
0,81,13031.320794196963
0,82,13031.320794196961
0,83,13031.320794196963
0,84,13031.320794196961
0,85,13031.320794196961
0,86,13031.320794196961
0,87,8367.22925101609
0,88,1854.9377995062068
0,89,6.671020646226622e-09
0,90,6.670844470454788e-09
0,91,6.670856666630627e-09
0,92,6.670935221252202e-09
0,93,6.670991180032394e-09
0,94,6.6709507025369065e-09
0,95,6.6711028527189405e-09
0,96,6.671249041187477e-09
0,97,6.671400732029473e-09
0,98,6.6711300680086615e-09
0,99,6.670967204158346e-09
0,100,6.6708386182186055e-09
0,101,6.670755290202996e-09
0,102,6.670702005785339e-09
0,103,6.67056570626129e-09
0,104,2.634149963216943e-09
0,105,2.634467202500983e-09
0,106,6.668174715594861e-09
0,107,6.6684050226749965e-09
0,108,6.6702797624725355e-09
0,109,6.670370287752509e-09
0,110,6.669987046878984e-09
0,111,6.669710636572259e-09
0,112,6.669627043858853e-09
0,113,6.66950829094672e-09
0,114,6.6704677807119544e-09
0,115,6.670644304747313e-09
0,116,6.67069150898968e-09
0,117,6.670717403526337e-09
0,118,6.670740505032837e-09
