IA,T,value
0,0,2.1747312458433605e-06
0,1,2.1747301817728708e-06
0,2,2.174729106582153e-06
0,3,2.1747285172321867e-06
0,4,2.174728230473072e-06
0,5,2.1747285309033255e-06
0,6,2.1747298169704984e-06
0,7,2.174731692321935e-06
0,8,2.174733996476415e-06
0,9,2.174733088035341e-06
0,10,2.174731438596726e-06
0,11,2.1747308003383994e-06
0,12,2.1747291176934906e-06
0,13,2.174728821094374e-06
0,14,2.174731383851672e-06
0,15,2.1747379100431515e-06
0,16,2.1747735107246254e-06
0,17,3.371419068892278e-06
0,18,2.1753626480846156e-06
0,19,2.174762492904072e-06
0,20,2.174738569273851e-06
0,21,2.174733282376412e-06
0,22,2.174732018091728e-06
0,23,2.174729922992027e-06
0,24,2.1747275626238325e-06
0,25,2.1747262215685275e-06
0,26,2.174726188262921e-06
0,27,2.1747267527083298e-06
0,28,2.1747274324926836e-06
0,29,2.174729539076905e-06
0,30,2.1747339158427817e-06
0,31,2.1748016600373673e-06
0,32,3.3867962992992565e-06
0,33,3.3867501431929757e-06
0,34,2.1748726271606043e-06
0,35,2.174786064764681e-06
0,36,2.174752622953512e-06
0,37,2.1747529038119648e-06
0,38,2.1748535380247333e-06
0,39,3.3867276037890387e-06
0,40,3.386740527046555e-06
0,41,3.386718822616635e-06
0,42,2.1748372705410624e-06
0,43,2.1747390458329643e-06
0,44,2.174732492852584e-06
0,45,2.1747292191683087e-06
0,46,2.174725230260797e-06
0,47,2.1747040894249704e-06
0,48,1.6450635510010386e-06
0,49,1.6447359121156153e-06
0,50,1.6447314209252096e-06
0,51,1.6447297912546358e-06
0,52,1.6447291132975963e-06
0,53,1.6447291661711005e-06
0,54,1.6447294902536581e-06
0,55,1.644733304677912e-06
0,56,2.1746527880533995e-06
0,57,2.1746873032886874e-06
0,58,2.174691120550515e-06
0,59,2.1746929276590145e-06
0,60,2.1746885824087264e-06
0,61,2.1746887704792058e-06
0,62,2.174694335576417e-06
0,63,2.1746957219288213e-06
0,64,2.1746977046344877e-06
0,65,2.174698596092619e-06
0,66,2.1746954431372915e-06
0,67,2.1746827691194234e-06
0,68,2.1745109197235987e-06
0,69,1.3160349931905409e-06
0,70,1.3160275337334437e-06
0,71,5.150613043401081e-07
0,72,5.150594460347148e-07
0,73,5.150590856883592e-07
0,74,5.150589332770725e-07
0,75,5.150588465340682e-07
0,76,5.150587930559045e-07
0,77,5.150587631393513e-07
0,78,5.150587567219586e-07
0,79,5.15058781044896e-07
0,80,5.1505882826331e-07
0,81,5.150588825835736e-07
0,82,5.150589587611903e-07
0,83,5.150590605071674e-07
0,84,5.150591974075868e-07
0,85,5.150594251352e-07
0,86,5.15060048154577e-07
0,87,5.15085678714155e-07
0,88,1.3160349024452043e-06
0,89,2.1747069427801094e-06
0,90,2.1747207571199724e-06
0,91,2.174719818180291e-06
0,92,2.1747137321694726e-06
0,93,2.1747094334739585e-06
0,94,2.1747125563730332e-06
0,95,2.174700913982206e-06
0,96,2.174689836886151e-06
0,97,2.17467844473092e-06
0,98,2.174698883795857e-06
0,99,2.1747113246838035e-06
0,100,2.1747212677778946e-06
0,101,2.1747279045421664e-06
0,102,2.174733343951289e-06
0,103,2.174952906593879e-06
0,104,3.3875368941802507e-06
0,105,3.3875432234402834e-06
0,106,3.3875438364984987e-06
0,107,3.38754527251647e-06
0,108,3.387533876068015e-06
0,109,3.3875266215342356e-06
0,110,3.387541320565724e-06
0,111,3.38754282019774e-06
0,112,3.38754182036341e-06
0,113,3.387539844438344e-06
0,114,3.3874812374440864e-06
0,115,2.1747628042424836e-06
0,116,2.1747363900081855e-06
0,117,2.174731867678843e-06
0,118,2.17472978659072e-06
0,119,2.174725619749152e-06
0,120,2.174714535909143e-06
0,121,2.17470976427922e-06
0,122,2.1747086872182537e-06
0,123,2.1747108850714812e-06
0,124,2.174716094820346e-06
0,125,2.174725518845925e-06
0,126,2.1747323082810417e-06
0,127,2.174781799173329e-06
0,128,3.387503034648319e-06
0,129,3.387494782083455e-06
0,130,3.387477112042677e-06
0,131,3.3821656498307824e-06
0,132,2.174774111009638e-06
0,133,2.174757257199407e-06
0,134,2.174882978844307e-06
0,135,3.387476367434309e-06
0,136,3.3874859411103624e-06
0,137,3.3874804361761802e-06
0,138,3.3874119726223437e-06
0,139,2.1747520021050872e-06
0,140,2.174735204605715e-06
0,141,2.17473158899595e-06
0,142,2.174728256089083e-06
0,143,2.1747212132704977e-06
0,144,2.1746764178244993e-06
0,145,2.1746128433337755e-06
0,146,2.174595628364308e-06
0,147,2.1745875739098523e-06
0,148,2.1745878467870593e-06
0,149,2.1746819892881457e-06
0,150,2.17472720631922e-06
0,151,2.1747353115167227e-06
0,152,2.1747933002980342e-06
0,153,3.38708194087909e-06
0,154,3.387146628635977e-06
0,155,3.387146524422898e-06
0,156,3.3870826941966373e-06
0,157,2.1748624697581244e-06
0,158,2.1748056318786693e-06
0,159,2.175191382015147e-06
0,160,2.174933339081338e-06
0,161,2.1748507538163226e-06
0,162,2.1747416600083336e-06
0,163,2.174732084654152e-06
0,164,2.174727573262241e-06
0,165,2.174712932694403e-06
0,166,2.1746209829050407e-06
0,167,1.3160351541097789e-06
0,168,1.3160309369406303e-06
0,169,1.3160300726725548e-06
0,170,1.3160298651187455e-06
0,171,1.3160299424158552e-06
0,172,1.3160304689870464e-06
0,173,1.3160324551396083e-06
0,174,2.160621868439955e-06
0,175,2.1747228076958273e-06
0,176,2.1747308960474304e-06
0,177,2.174732138221329e-06
0,178,2.174732854835163e-06
0,179,2.1747340181168737e-06
0,180,2.1747336511697326e-06
0,181,2.1747336455902114e-06
0,182,2.1747364374652325e-06
0,183,2.1747428255603635e-06
0,184,2.174758192490748e-06
0,185,2.1747649245522707e-06
0,186,2.1747640394935343e-06
0,187,2.174754146528615e-06
0,188,2.1747391801361232e-06
0,189,2.174734447081897e-06
0,190,2.1747324983189143e-06
0,191,2.1747309216495637e-06
0,192,2.1747291299781518e-06
0,193,2.1747282283877175e-06
0,194,2.1747276021432185e-06
0,195,2.17472707037588e-06
0,196,2.1747268081713424e-06
0,197,2.174728050856334e-06
0,198,2.1747317127188137e-06
0,199,2.1747395883417106e-06
0,200,2.1747530511216466e-06
0,201,2.174740617296193e-06
0,202,2.1747350064165935e-06
0,203,2.1747324945328803e-06
0,204,2.17472975360105e-06
0,205,2.1747261786803085e-06
0,206,2.174728754277379e-06
0,207,2.1747306139154737e-06
0,208,2.1747327155101966e-06
0,209,2.174734645975316e-06
0,210,2.1747328938770665e-06
0,211,2.1747312340203526e-06
0,212,2.1747287076872603e-06
0,213,2.1747257813442816e-06
0,214,2.1747212050043235e-06
0,215,2.174692089802104e-06
0,216,2.1744584954709427e-06
0,217,1.6447582409369159e-06
0,218,1.6447535071920528e-06
0,219,1.6447515197466882e-06
0,220,1.6447509858720944e-06
0,221,1.6447508443698331e-06
0,222,1.644751417883509e-06
0,223,1.6447627712117257e-06
0,224,2.174706774725737e-06
0,225,2.174719130115235e-06
0,226,2.1747207762132063e-06
0,227,2.1747146897762963e-06
0,228,2.1746753435007097e-06
0,229,2.1746561065772406e-06
0,230,2.1747067234232417e-06
0,231,2.17471874671229e-06
0,232,2.1747219560394083e-06
0,233,2.1747272468759706e-06
0,234,2.1747277799404486e-06
0,235,2.1747283803568666e-06
0,236,2.1747254831704695e-06
0,237,2.1747186498186598e-06
0,238,2.1747169179373114e-06
0,239,2.174705845837694e-06
0,240,2.1746780047731708e-06
0,241,2.174687849311333e-06
0,242,2.1746824200260563e-06
0,243,2.1746773069782673e-06
0,244,2.1746755218877457e-06
0,245,2.1746918005950775e-06
0,246,2.1746911447728928e-06
0,247,2.1747193205345298e-06
0,248,2.174726370448134e-06
0,249,2.174726092438314e-06
